state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
227904,-416,90,8186,-20,16,26,9823,1,-1,2,0,182,-1,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,7148,0
227914,-402,88,8162,-16,14,28,9823,3,1,4,0,183,14,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,227909,0
227924,-388,68,8164,-16,16,26,9823,1,-1,2,0,179,8,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,227911,0
227934,-446,58,8152,-19,12,28,9824,-1,-2,1,0,175,-12,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,227916,0
227944,-426,58,8160,-19,14,25,9822,-2,-3,7,0,173,-30,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,227924,0
227954,-406,74,8178,-22,11,27,9824,7,6,-1,0,177,-45,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,227940,0
227964,-412,96,8174,-13,13,28,9823,0,3,3,0,179,-21,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,227946,0
227974,-400,76,8172,-21,15,28,9823,3,0,5,0,176,-42,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,227953,0
227984,-396,72,8170,-17,14,29,9822,-5,-4,2,0,164,-60,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4193,0,227963,0
227994,-426,60,8192,-19,19,26,9823,0,0,4,0,170,-48,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,227987,0
228004,-396,74,8178,-20,14,25,9822,-4,-1,2,0,177,-12,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228005,0
228014,-416,54,8176,-12,13,26,9822,-7,-5,3,0,177,17,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228010,0
228024,-426,96,8168,-15,11,26,9822,1,-1,0,0,173,-1,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228015,0
228034,-428,68,8168,-21,16,24,9822,-3,0,-2,0,173,-12,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4192,0,228020,0
228044,-376,72,8170,-17,15,24,9823,9,3,2,0,182,5,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228025,0
228054,-414,86,8162,-16,21,26,9823,-2,1,3,0,181,15,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228032,0
228064,-408,84,8156,-16,10,31,9822,0,5,6,0,173,-24,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228042,0
228074,-442,64,8176,-18,14,29,9823,1,1,5,0,176,-29,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,228058,0
228084,-394,64,8150,-19,16,26,9823,1,-5,0,0,182,3,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4193,0,228066,0
228094,-378,84,8162,-14,13,27,9823,4,-5,5,0,185,45,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228072,0
228104,-408,90,8160,-12,10,24,9822,-6,-1,1,0,178,40,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4195,0,228085,0
228114,-424,86,8176,-23,18,26,9823,0,-1,5,0,174,9,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228099,0
228124,-410,90,8158,-17,20,32,9823,0,-1,2,0,176,-15,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4195,0,228104,0
228134,-400,58,8168,-18,10,21,9823,2,2,0,0,177,-1,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228113,0
228144,-422,56,8184,-16,14,26,9823,0,-1,6,0,175,-40,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228123,0
228154,-448,56,8162,-16,14,27,9822,3,3,0,0,177,-7,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228140,0
228164,-426,74,8146,-24,18,28,9823,4,2,9,0,178,-13,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228142,0
228174,-416,78,8176,-18,17,29,9823,-3,3,6,0,185,12,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228169,0
228184,-410,64,8174,-14,15,26,9823,3,1,3,0,181,-19,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4194,0,228175,0
228194,-390,90,8162,-24,19,29,9823,-3,3,2,0,178,-41,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228180,0
228204,-418,66,8176,-17,13,26,9823,-1,-1,1,0,167,-62,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228191,0
228214,-398,72,8156,-15,14,26,9822,5,2,0,1136,171,-54,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228194,0
228224,-408,68,8138,-17,11,31,9822,-3,2,0,3080,181,11,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,228203,0
228234,-402,60,8168,-13,13,27,9823,5,-2,0,5032,178,-1,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4193,0,228214,0
228244,-430,64,8186,-15,15,27,9823,6,3,3,5168,179,7,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,228224,0
228254,-406,58,8174,-16,14,30,9824,6,3,4,5168,175,3,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,228232,0
228264,-404,64,8164,-16,18,26,9822,0,5,9,5168,174,-9,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228260,0
228274,-444,62,8160,-20,18,29,9823,0,0,4,5160,171,-19,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228271,0
228284,-404,58,8172,-18,16,26,9823,1,-2,2,5168,172,-41,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228276,0
228294,-412,100,8156,-19,11,26,9822,-3,1,0,5160,178,-21,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228283,0
228304,-418,84,8162,-17,15,30,9823,-2,0,4,5184,180,-12,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228289,0
228314,-386,68,8166,-14,17,29,9823,-1,2,0,5168,180,-17,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4194,0,228304,0
228324,-402,68,8160,-19,15,27,9822,-5,0,2,5168,175,-16,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228306,0
228334,-408,82,8160,-18,14,26,9822,-3,4,3,5184,177,-56,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4192,0,228314,0
228344,-394,52,8172,-18,20,25,9823,0,3,5,5160,176,-68,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4194,0,228325,0
228354,-402,82,8156,-14,18,22,9822,-3,7,1,5168,176,-48,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228332,0
228364,-410,62,8180,-17,15,29,9823,3,-1,5,5168,170,-86,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4194,0,228343,0
228374,-416,108,8160,-19,18,29,9823,0,0,4,5168,169,-68,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4193,0,228355,0
228384,-416,92,8182,-17,15,26,9822,0,-5,2,5160,174,-54,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228363,0
228394,-390,62,8188,-16,14,25,9823,7,0,6,5168,175,-23,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228374,0
228404,-416,68,8168,-18,11,25,9823,-1,1,2,5160,173,-15,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4193,0,228384,0
228414,-408,72,8154,-17,19,27,9824,0,-2,1,5160,171,-34,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4193,0,228392,0
228424,-396,82,8166,-16,18,24,9823,1,2,2,5168,172,-29,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228404,0
228434,-412,64,8178,-15,24,26,9823,5,2,3,5168,170,-46,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4193,0,228413,0
228444,-410,88,8168,-16,17,27,9823,-1,0,6,5160,173,-40,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228424,0
228454,-408,66,8158,-15,14,26,9822,-7,-3,1,5160,172,-19,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228432,0
228464,-432,74,8136,-17,10,26,9823,1,1,6,5168,171,-20,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228443,0
228474,-418,62,8160,-18,15,26,9824,0,-4,4,5168,174,11,25,144,0,6,0,0,0,0,0,0,-32296,0,0,0,4193,0,228462,0
228484,-460,72,8172,-14,15,27,9823,-3,1,1,5160,176,-10,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4194,0,228466,0
228494,-410,62,8154,-18,14,26,9822,-7,0,8,5168,178,6,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228473,0
228504,-414,76,8158,-15,15,26,9823,-5,-3,3,5160,170,-31,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228482,0
228514,-424,80,8186,-15,15,23,9823,-1,0,4,5160,177,-19,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4193,0,228492,0
228524,-412,70,8140,-16,13,29,9823,5,3,4,5160,177,-2,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228503,0
228534,-376,78,8152,-18,17,25,9823,-1,5,-1,5168,180,-13,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4195,0,228517,0
228544,-416,62,8182,-18,19,29,9821,-6,1,4,5168,175,-22,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4195,0,228544,0
228554,-404,62,8186,-16,13,25,9824,2,1,1,5160,178,-37,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228549,0
228564,-402,54,8200,-15,14,29,9823,-6,-1,3,5168,176,-42,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4195,0,228554,0
228574,-410,70,8176,-15,12,25,9823,0,4,1,5168,173,-43,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228569,0
228584,-386,52,8176,-18,13,27,9822,-6,-2,1,5176,171,-47,25,144,0,6,0,0,0,0,0,0,-32295,0,0,0,4194,0,228577,0
228594,-428,76,8176,-9,20,28,9823,0,1,1,5168,176,-32,25,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4194,0,228579,0
