state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
36889,-268,-470,-8292,-21,-41,37,3989,4,3,3,0,190,77,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,2546,0
36899,-282,-464,-8290,-16,-41,41,3988,3,1,-3,0,190,71,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36889,0
36909,-298,-482,-8286,-18,-38,40,3987,-5,0,1,0,190,86,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,36889,0
36919,-284,-474,-8262,-18,-40,37,3988,-1,-1,1,0,188,84,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,36889,0
36929,-278,-468,-8310,-16,-41,42,3988,-2,0,-2,0,188,89,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,36889,0
36939,-272,-456,-8274,-16,-42,41,3988,11,-2,3,0,187,84,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36889,0
36949,-288,-462,-8276,-19,-36,38,3987,-6,2,-1,0,185,80,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36889,0
36959,-262,-450,-8292,-17,-41,37,3987,2,-2,0,0,185,76,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,36889,0
36969,-274,-446,-8284,-14,-40,40,3986,-11,0,-4,0,186,80,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36889,0
36979,-270,-466,-8306,-17,-39,36,3990,3,0,-3,0,184,58,24,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3377,0,36889,0
36989,-296,-440,-8270,-17,-43,43,3987,-11,-2,2,0,182,53,24,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,36889,0
36999,-294,-460,-8282,-15,-43,38,3987,-2,0,0,0,182,39,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36896,0
37009,-298,-464,-8276,-19,-37,39,3988,4,5,4,0,184,57,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,36898,0
37019,-290,-476,-8270,-16,-37,37,3987,-3,2,2,0,185,76,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,36906,0
37029,-280,-500,-8284,-19,-44,35,3987,0,-3,1,0,183,75,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3375,0,36918,0
37039,-280,-464,-8298,-14,-38,43,3986,3,-1,1,0,185,88,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3377,0,36925,0
37049,-278,-468,-8286,-13,-38,39,3988,6,0,-3,0,188,80,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,36939,0
37059,-280,-474,-8296,-17,-42,41,3987,0,-1,0,0,188,77,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,36948,0
37069,-274,-476,-8286,-16,-39,40,3988,4,-4,-1,0,185,47,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3377,0,36955,0
37079,-294,-482,-8274,-23,-36,41,3988,4,4,-1,0,180,20,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3375,0,36966,0
37089,-304,-448,-8282,-17,-37,39,3986,-6,-3,0,0,180,16,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3377,0,36978,0
37099,-264,-476,-8302,-16,-40,35,3987,-3,-4,1,0,178,36,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3377,0,36986,0
37109,-278,-462,-8264,-15,-42,41,3987,-5,-4,1,0,182,32,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,36996,0
37119,-304,-492,-8286,-18,-43,39,3987,-3,-3,0,0,181,37,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,37008,0
37129,-270,-460,-8302,-15,-41,41,3988,1,0,2,0,183,47,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37018,0
37139,-280,-480,-8306,-16,-39,40,3986,-9,-4,0,0,185,78,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37026,0
37149,-274,-454,-8306,-17,-42,38,3987,-2,2,-2,0,190,78,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37038,0
37159,-272,-484,-8290,-16,-41,41,3986,-6,-2,0,0,190,78,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3375,0,37045,0
37169,-292,-490,-8296,-15,-38,38,3987,2,-4,-2,0,190,67,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37060,0
37179,-294,-462,-8300,-17,-43,40,3989,7,4,-2,0,189,78,24,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,37068,0
37189,-268,-458,-8280,-18,-38,36,3986,-8,-1,1,0,190,44,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37083,0
37199,-288,-460,-8288,-20,-40,35,3987,2,-1,0,0,185,33,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,37086,0
37209,-272,-468,-8274,-15,-39,37,3988,-1,1,0,0,181,49,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,37097,0
37219,-300,-470,-8286,-20,-41,39,3988,3,2,2,0,182,79,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37107,0
37229,-280,-472,-8298,-18,-40,39,3987,-8,-3,-4,0,186,86,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37120,0
37239,-280,-458,-8294,-18,-40,38,3987,0,-3,3,0,187,65,24,144,0,6,0,0,0,0,0,0,-32333,0,0,0,3376,0,37128,0
37249,-298,-464,-8292,-14,-39,41,3987,1,1,0,0,186,21,24,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3377,0,37136,0
