state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
411043,-422,88,8176,-18,14,28,9822,2,1,3,0,171,-11,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,4911,0
411053,-408,74,8156,-12,14,21,9820,-7,0,3,0,175,3,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411043,0
411063,-420,68,8184,-15,10,24,9820,-8,-4,3,0,178,10,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4878,0,411043,0
411073,-438,38,8146,-15,16,28,9820,-4,-3,1,0,175,-6,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411083,-406,64,8178,-14,18,29,9821,-2,-3,4,0,173,-29,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411093,-422,62,8152,-17,13,27,9822,-2,3,5,0,171,-21,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411043,0
411103,-422,68,8150,-19,14,24,9821,-2,5,3,0,175,-40,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411113,-418,66,8170,-13,12,29,9821,-1,2,1,0,173,-22,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411123,-404,76,8148,-13,13,24,9821,0,2,5,0,172,-41,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411133,-418,48,8158,-14,16,28,9821,-2,-2,3,0,178,-14,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411143,-400,66,8146,-15,14,27,9822,0,-3,0,0,181,20,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411153,-436,64,8172,-13,18,26,9821,1,-2,5,0,178,34,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411043,0
411163,-432,40,8178,-12,18,22,9822,3,-2,3,0,175,-2,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411056,0
411173,-452,54,8166,-19,17,28,9822,3,1,1,0,171,-16,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411066,0
411183,-402,38,8174,-12,12,24,9822,-2,-3,2,0,171,-13,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411071,0
411193,-426,86,8184,-16,15,28,9822,6,3,6,0,169,-10,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411081,0
411203,-414,72,8166,-17,14,28,9822,0,0,0,0,168,-66,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411086,0
411213,-428,50,8186,-14,15,28,9822,-2,-1,7,0,170,-78,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411094,0
411223,-420,66,8154,-17,15,27,9820,-2,1,0,0,172,-67,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411107,0
411233,-402,68,8182,-19,15,28,9822,3,-3,1,0,176,-3,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411125,0
411243,-410,76,8142,-18,13,26,9821,-3,1,2,0,174,20,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411127,0
411253,-402,56,8158,-16,13,27,9821,2,1,4,0,169,-18,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411136,0
411263,-428,86,8152,-19,19,28,9823,5,0,2,0,167,-25,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411145,0
411273,-390,50,8164,-16,16,23,9821,-2,0,1,0,172,-12,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411157,0
411283,-428,74,8176,-15,16,26,9821,-2,3,2,0,176,24,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411178,0
411293,-406,44,8152,-18,17,24,9822,2,5,3,0,176,4,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411184,0
411303,-420,84,8144,-16,18,24,9822,-2,1,7,0,179,2,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411193,0
411313,-424,62,8172,-13,14,24,9822,3,0,1,0,179,6,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4879,0,411199,0
411323,-400,50,8154,-20,10,27,9821,-5,2,5,0,178,-2,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4879,0,411207,0
411333,-408,46,8158,-15,13,24,9821,0,-4,2,0,174,22,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411218,0
411343,-436,62,8174,-16,17,28,9822,5,-6,1,0,173,25,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4879,0,411237,0
411353,-408,44,8166,-12,14,28,9821,3,2,0,0,177,40,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4879,0,411250,0
411363,-426,46,8176,-18,13,27,9820,-7,5,0,0,182,49,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4878,0,411268,0
411373,-404,66,8156,-19,15,29,9820,-5,-1,3,0,179,36,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4878,0,411272,0
411383,-434,86,8160,-11,19,29,9821,-4,6,0,0,176,15,26,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4878,0,411275,0
411393,-422,50,8158,-11,15,28,9822,5,-2,0,0,175,-8,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411280,0
411403,-422,70,8180,-12,10,22,9821,1,1,6,0,178,4,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411287,0
411413,-394,50,8168,-14,19,28,9821,0,-4,1,0,177,11,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411312,0
411423,-442,72,8156,-13,18,27,9821,0,2,3,0,178,8,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411328,0
411433,-388,70,8170,-12,19,24,9821,4,-2,4,0,176,-6,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411333,0
411443,-418,74,8178,-17,16,28,9821,-1,-1,1,0,173,-2,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411341,0
411453,-408,64,8166,-18,17,31,9822,1,-5,1,0,173,-4,26,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4878,0,411347,0
411463,-390,76,8168,-15,14,26,9822,0,5,1,0,173,-26,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411422,0
411473,-412,78,8140,-13,12,21,9821,1,2,0,1336,173,-44,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411430,0
411483,-400,54,8168,-16,15,29,9822,1,5,0,3304,175,8,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411440,0
411493,-440,50,8166,-20,22,26,9822,9,-1,0,5168,179,42,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411445,0
411503,-428,54,8178,-17,14,22,9822,0,-1,4,5176,182,65,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411459,0
411513,-418,54,8160,-19,9,28,9821,-7,0,4,5176,181,34,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411459,0
411523,-436,52,8162,-12,18,26,9821,0,0,2,5168,175,39,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411459,0
411533,-396,50,8166,-15,17,27,9821,-2,-4,2,5168,174,40,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411459,0
411543,-402,50,8164,-18,12,28,9822,3,-1,3,5176,175,32,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411459,0
411553,-402,34,8194,-10,19,27,9820,-3,-3,1,5176,176,24,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411461,0
411563,-460,64,8154,-19,16,24,9822,-5,-1,5,5168,176,1,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411461,0
411573,-388,64,8150,-18,12,26,9822,-1,2,0,5160,177,8,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411475,0
411583,-418,40,8172,-21,15,26,9820,-4,3,2,5168,182,29,26,144,0,6,0,0,0,0,0,0,-32294,0,0,0,4878,0,411480,0
411593,-402,42,8170,-17,18,26,9822,2,2,-1,5160,180,17,25,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4879,0,411485,0
411603,-428,64,8160,-16,16,29,9823,1,4,1,5168,179,18,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411490,0
411613,-424,54,8154,-14,18,21,9823,5,1,8,5168,179,-5,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411501,0
411623,-386,58,8172,-15,20,24,9821,-9,-4,3,5168,178,-12,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4878,0,411507,0
411633,-430,44,8160,-18,16,26,9822,-2,-2,2,5168,176,-33,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411520,0
411643,-452,62,8176,-12,16,24,9823,3,-4,1,5160,178,-33,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411537,0
411653,-430,52,8186,-12,13,27,9822,-1,-1,5,5176,180,-5,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411551,0
411663,-444,52,8164,-15,13,21,9821,-2,-4,1,5176,179,19,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411560,0
411673,-414,36,8150,-14,12,30,9821,-6,-3,4,5160,181,40,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411567,0
411683,-284,56,7846,-16,25,25,9822,7,-1,1,5176,179,33,25,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4879,0,411579,0
411693,-506,70,8066,-19,16,31,9823,4,5,2,5168,176,13,25,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411587,0
411703,-616,86,8092,-19,7,29,9821,-7,-2,1,5176,178,16,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411590,0
411713,-618,70,7984,-17,0,26,9822,3,-4,1,5176,180,44,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4880,0,411597,0
411723,-438,48,8230,-9,12,23,9821,1,1,3,5160,184,66,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411604,0
411733,-410,46,8176,-15,11,31,9823,7,1,6,5168,182,57,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411619,0
411743,-410,62,8224,-15,14,30,9822,0,1,3,5160,180,59,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411624,0
411753,-400,46,8166,-9,12,27,9821,0,-3,4,5176,185,51,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411634,0
411763,-346,58,8222,-19,13,26,9821,-3,2,7,5176,185,3,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411650,0
411773,-376,34,8200,-14,18,24,9823,3,1,-1,5168,185,12,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411662,0
411783,-478,38,8172,-15,13,25,9821,4,-1,4,5176,181,18,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4879,0,411664,0
411793,-458,72,8186,-25,15,26,9821,0,-1,0,5168,179,54,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4879,0,411678,0
411803,-454,58,8248,-12,13,28,9823,2,1,7,5176,180,47,26,144,0,6,0,0,0,0,0,0,-32293,0,0,0,4878,0,411687,0
411813,-448,44,8154,-19,11,29,9822,3,-1,1,5168,182,38,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411699,0
411823,-432,50,8176,-10,12,24,9822,0,-1,4,5160,182,45,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411717,0
411833,-428,64,8162,-18,12,23,9822,4,1,5,5168,183,41,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411722,0
411843,-382,58,8172,-15,15,26,9821,0,-1,5,5168,182,31,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411737,0
411853,-436,42,8168,-22,15,27,9821,-3,-2,4,5168,182,21,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411745,0
411863,-396,46,8168,-13,21,24,9823,6,10,3,5176,180,16,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4880,0,411755,0
411873,-388,68,8148,-17,10,30,9822,3,-1,5,5160,181,36,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4879,0,411761,0
411883,-388,46,8170,-14,19,31,9822,0,0,0,5176,176,2,26,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411771,0
411893,-418,58,8184,-14,16,28,9821,2,-2,3,5168,175,-24,25,144,0,6,0,0,0,0,0,0,-32291,0,0,0,4878,0,411777,0
411903,-448,32,8164,-18,15,25,9820,-7,0,4,5168,172,-47,26,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4877,0,411789,0
411913,-396,72,8162,-17,16,26,9821,-5,-2,1,5176,175,-4,25,144,0,6,0,0,0,0,0,0,-32292,0,0,0,4878,0,411799,0
