state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
411285,78,-386,-8298,-17,-43,40,328,0,-4,-3,0,179,-53,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411173,0
411295,90,-386,-8286,-17,-38,39,329,9,4,0,0,184,-52,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411190,0
411305,94,-364,-8276,-18,-40,37,329,5,-3,0,0,183,-50,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411196,0
411315,78,-378,-8290,-14,-39,39,327,2,-1,-3,0,183,-30,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411221,0
411325,76,-406,-8288,-7,-42,44,328,2,3,0,0,182,-42,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411271,0
411335,96,-352,-8296,-11,-42,40,328,5,1,-1,0,176,-37,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411295,0
411345,72,-380,-8282,-17,-47,39,328,0,4,0,0,176,-37,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411346,0
411355,86,-390,-8312,-15,-34,41,329,2,0,0,0,181,15,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411371,0
411365,98,-362,-8318,-18,-44,41,328,-4,-1,2,0,185,17,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411389,0
411375,106,-362,-8278,-16,-42,40,328,5,1,1,0,187,-1,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2936,0,411389,0
411385,80,-370,-8296,-15,-44,36,328,0,1,-1,0,186,-25,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411389,0
411395,82,-372,-8302,-17,-37,36,326,-7,0,-2,0,184,-37,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411389,0
411405,96,-362,-8286,-11,-43,36,328,-1,3,-1,0,184,-41,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411389,0
411415,74,-364,-8304,-14,-48,38,328,5,5,1,0,184,-37,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411396,0
411425,64,-396,-8326,-16,-43,40,327,-3,1,2,0,184,-17,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411396,0
411435,66,-392,-8296,-15,-40,38,327,0,-1,0,0,182,-10,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411396,0
411445,74,-372,-8288,-17,-35,41,327,-5,-4,-1,0,183,-20,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411396,0
411455,76,-380,-8294,-15,-42,35,328,1,-2,0,0,181,-24,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411396,0
411465,102,-362,-8280,-18,-39,41,327,-1,-3,2,0,183,-29,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411396,0
411475,66,-400,-8314,-14,-41,41,329,-1,-4,0,0,188,-15,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411396,0
411485,106,-352,-8296,-18,-34,37,326,-7,0,0,0,185,-17,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411400,0
411495,104,-358,-8286,-16,-42,42,327,-3,0,-3,0,185,-13,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411400,0
411505,90,-374,-8322,-14,-37,40,328,0,0,-1,0,185,-26,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411402,0
411515,106,-372,-8320,-16,-42,42,328,-2,2,2,0,187,-22,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411407,0
411525,68,-390,-8284,-12,-39,40,328,-4,3,-2,0,184,-28,26,144,0,6,0,0,0,0,0,0,-32327,0,0,0,2935,0,411432,0
411535,80,-382,-8288,-13,-42,38,328,3,0,0,0,182,-24,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411482,0
411545,52,-382,-8280,-17,-42,38,329,4,-4,0,0,182,-46,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411507,0
411555,82,-356,-8306,-14,-42,38,327,0,1,-4,0,183,-31,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411557,0
411565,100,-384,-8296,-19,-36,38,327,-2,-1,0,0,181,-34,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,411583,0
411575,92,-354,-8302,-11,-38,40,327,0,3,0,0,180,-27,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411594,0
411585,106,-378,-8296,-17,-45,44,327,-2,2,1,0,181,-16,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411606,0
411595,82,-390,-8284,-16,-43,39,328,-2,3,1,0,185,-25,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411605,78,-358,-8310,-17,-39,43,328,1,0,0,0,188,-25,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411615,64,-374,-8302,-17,-37,38,327,-3,0,0,0,186,-34,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411625,72,-372,-8284,-13,-36,35,328,-1,2,3,0,184,-44,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411635,62,-376,-8282,-11,-38,38,326,-5,2,1,0,178,-62,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411645,76,-392,-8318,-14,-42,39,328,-2,2,-2,0,182,-58,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411606,0
411655,86,-360,-8306,-13,-42,38,327,-6,-2,0,0,179,-52,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411616,0
411665,88,-360,-8280,-23,-39,32,328,-2,-2,0,0,184,-34,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411616,0
411675,84,-380,-8274,-20,-44,43,328,2,0,-1,0,178,-42,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411616,0
411685,100,-402,-8310,-21,-41,35,327,-3,3,0,0,183,-30,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411616,0
411695,98,-350,-8320,-15,-40,42,328,0,1,2,0,182,-50,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,411616,0
411705,88,-380,-8274,-17,-40,40,327,-9,0,-3,0,183,-41,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2936,0,411616,0
411715,74,-362,-8282,-16,-42,42,328,0,-6,2,0,183,-53,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,411641,0
411725,78,-406,-8298,-17,-37,43,326,0,0,1,0,186,-48,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2934,0,411661,0
411735,86,-370,-8314,-14,-46,40,327,0,0,0,0,186,-37,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2933,0,411695,0
411745,100,-366,-8288,-20,-45,37,327,-2,1,-1,0,188,-54,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,411714,0
