state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
225096,-274,-484,-8294,-20,-38,35,3988,5,0,3,0,191,81,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,2223,0
225106,-280,-488,-8304,-14,-42,37,3987,-8,1,0,0,193,59,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225116,-280,-470,-8290,-18,-42,44,3987,0,-2,1,0,192,56,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225126,-284,-470,-8282,-13,-43,39,3988,0,6,-5,0,195,60,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225136,-290,-472,-8274,-16,-40,41,3985,-7,3,5,0,195,79,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225096,0
225146,-294,-488,-8294,-13,-40,42,3987,-5,0,2,0,193,127,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225156,-290,-466,-8288,-17,-38,38,3986,-9,-5,-1,0,192,100,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225166,-282,-474,-8294,-16,-43,39,3986,-6,5,0,0,195,95,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225096,0
225176,-286,-442,-8292,-16,-43,43,3988,1,0,1,0,197,101,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225096,0
225186,-258,-470,-8298,-14,-41,41,3987,1,2,0,0,204,111,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225096,0
225196,-256,-478,-8300,-19,-42,40,3987,2,-2,0,0,200,97,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225096,0
225206,-272,-458,-8286,-15,-45,37,3987,-11,-1,-2,0,196,77,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225096,0
225216,-280,-480,-8306,-17,-39,39,3988,-3,-1,1,0,193,62,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225102,0
225226,-272,-464,-8284,-16,-42,39,3986,-11,-6,0,0,198,81,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225108,0
225236,-268,-478,-8274,-13,-43,40,3987,-4,-3,2,0,194,73,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225118,0
225246,-306,-444,-8292,-17,-40,41,3987,4,1,0,0,188,81,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3375,0,225150,0
225256,-292,-464,-8276,-15,-36,39,3988,5,4,0,0,190,68,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225152,0
225266,-290,-442,-8298,-17,-40,41,3987,0,2,3,0,195,104,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225157,0
225276,-266,-468,-8290,-17,-42,37,3986,-3,-3,-2,0,197,105,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225160,0
225286,-286,-452,-8292,-17,-40,38,3989,4,5,-1,0,192,81,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225168,0
225296,-284,-468,-8274,-19,-41,44,3988,0,-2,1,0,194,69,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3377,0,225179,0
225306,-278,-472,-8276,-12,-39,36,3989,10,0,-2,0,194,76,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225189,0
225316,-282,-460,-8322,-15,-36,43,3988,1,1,2,0,188,84,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225199,0
225326,-302,-466,-8270,-17,-44,39,3987,-1,-2,-6,0,190,83,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225209,0
225336,-286,-454,-8308,-13,-41,40,3988,3,-1,1,0,186,49,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225219,0
225346,-284,-468,-8286,-18,-42,37,3987,-2,-1,-1,0,187,44,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225229,0
225356,-300,-450,-8300,-16,-42,39,3988,8,3,-1,0,196,64,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225238,0
225366,-280,-466,-8296,-20,-41,43,3987,0,3,-2,0,198,98,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225248,0
225376,-288,-450,-8284,-13,-40,41,3987,-1,-1,-2,0,201,103,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225259,0
225386,-278,-456,-8320,-19,-34,40,3988,2,0,2,0,192,98,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3377,0,225269,0
225396,-270,-460,-8280,-19,-46,41,3986,-3,-3,0,0,191,83,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225278,0
225406,-304,-456,-8282,-12,-39,43,3988,-2,2,0,0,195,127,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225303,0
225416,-292,-476,-8336,-12,-40,39,3988,4,-1,-5,0,197,108,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225317,0
225426,-262,-436,-8284,-13,-42,39,3987,-7,0,0,0,200,101,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225320,0
225436,-290,-470,-8280,-16,-39,34,3988,2,-6,1,0,202,81,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225322,0
225446,-262,-466,-8270,-17,-39,37,3987,0,-1,6,0,200,84,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225328,0
225456,-300,-476,-8274,-17,-38,41,3989,4,0,-2,0,196,68,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225339,0
225466,-308,-454,-8288,-21,-38,43,3988,-5,3,-1,0,195,86,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225349,0
225476,-296,-488,-8238,-16,-43,35,3989,5,1,-3,0,191,63,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225374,0
225486,-290,-450,-8314,-20,-38,42,3987,-7,-2,1,0,193,80,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225379,0
225496,-278,-458,-8292,-18,-42,37,3988,1,3,0,0,193,77,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225382,0
225506,-284,-474,-8290,-15,-41,37,3987,-9,2,-1,0,191,71,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225388,0
225516,-282,-472,-8298,-21,-40,40,3987,4,-6,-1,0,189,54,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225403,0
225526,-284,-450,-8284,-11,-42,40,3987,0,5,0,0,194,58,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225429,0
225536,-282,-444,-8308,-15,-41,41,3988,-2,3,0,0,189,94,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225455,0
225546,-308,-454,-8260,-17,-41,37,3987,-4,-1,3,0,188,102,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225480,0
225556,-284,-444,-8282,-15,-41,43,3988,5,0,-3,0,187,81,25,144,0,6,0,0,0,0,0,0,-32332,0,0,0,3376,0,225504,0
225566,-294,-470,-8280,-15,-40,42,3986,-2,-1,-1,0,193,72,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225530,0
225576,-274,-448,-8282,-16,-45,42,3987,4,-1,-1,0,197,50,25,144,0,6,0,0,0,0,0,0,-32330,0,0,0,3376,0,225555,0
225586,-286,-444,-8298,-16,-38,39,3987,-3,0,2,0,196,62,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225601,0
225596,-286,-478,-8278,-15,-39,40,3988,-7,2,3,0,193,31,25,144,0,6,0,0,0,0,0,0,-32331,0,0,0,3376,0,225601,0
