State time, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z, Encoder angle, Encoder velocity, Encoder acceleration, Motor voltage, Motor current, Battery voltage, Battery current, Ankle angle, Ankle vel, Percent Gait, Heelstrike Armed, Segmentation Trigger, Expected Duration, Current Command, Torque Command, Soft Sensor Time, Hip Soft Sensor, Knee Soft Sensor, MHE Percent Gait, 
 412973,-436,54,8168,-17,13,26,9821,-5,-1,5168,2,167,-58,4879,0,-1,0,0,-1,400,56.0,4900.0,81.73,81.17,-1,
 412993,-416,56,8146,-13,13,27,9822,0,0,5168,1,170,-76,4878,0,-1,0,0,-1,400,56.0,4916.0,81.73,81.17,-1,
 413013,-414,78,8156,-19,13,26,9821,0,2,5168,2,170,-57,4878,0,-1,0,0,-1,400,56.0,4933.0,81.73,81.17,-1,
 413043,-428,42,8152,-17,12,26,9821,-3,-2,5168,6,169,-75,4879,0,-1,0,0,-1,400,56.0,4950.0,81.73,81.17,-1,
 413073,-414,94,8172,-16,15,24,9822,0,2,5168,4,172,-87,4879,0,-1,0,0,-1,400,56.0,4983.0,81.73,81.28,-1,
 413083,-426,78,8170,-16,15,27,9820,-5,0,5160,1,171,-62,4879,0,-1,0,0,-1,400,56.0,4999.0,81.73,81.28,-1,
 413103,-414,70,8188,-19,14,27,9822,5,2,5168,6,171,-15,4878,0,-1,0,0,-1,400,56.0,5016.0,81.73,81.28,-1,
 413123,-446,52,8168,-22,14,24,9822,-4,-3,5168,0,174,-26,4880,0,-1,0,0,-1,400,56.0,5032.0,81.61,81.28,-1,
 413133,-416,54,8134,-19,16,24,9821,-4,-4,5176,4,176,-20,4878,0,-1,0,0,-1,400,56.0,5049.0,81.73,81.28,-1,
 413143,-476,64,8142,-13,13,23,9822,2,-2,5176,0,176,-16,4878,0,-1,0,0,-1,400,56.0,5066.0,81.61,81.28,-1,
 413163,-426,34,8128,-15,18,28,9822,-2,2,5176,9,174,-32,4878,0,-1,0,0,-1,400,56.0,5082.0,81.61,81.28,-1,
 413173,-410,44,8176,-13,14,29,9822,6,-1,5168,5,177,-74,4878,0,-1,0,0,-1,400,56.0,5099.0,81.61,81.28,-1,
 413193,-426,40,8172,-16,18,24,9822,-2,-1,5168,2,171,-75,4879,0,-1,0,0,-1,400,56.0,5115.0,81.61,81.28,-1,
 413223,-382,52,8154,-14,13,24,9822,2,2,5168,2,174,-49,4878,0,-1,0,0,-1,400,56.0,5132.0,81.61,81.28,-1,
 413253,-416,62,8166,-16,16,26,9822,5,-2,5168,3,171,-62,4878,0,-1,0,0,-1,400,56.0,5165.0,81.61,81.28,-1,
 413273,-398,54,8170,-17,14,23,9822,-1,0,5160,4,170,-46,4879,0,-1,0,0,-1,400,56.0,5182.0,81.61,81.28,-1,
 413303,-408,74,8174,-15,17,26,9821,-6,-4,5168,5,176,-62,4877,0,-1,0,0,-1,400,56.0,5215.0,81.61,81.17,-1,
 413323,-464,80,8170,-17,12,26,9822,0,-3,5168,0,174,-7,4878,0,-1,0,0,-1,400,56.0,5232.0,81.5,81.17,-1,
 413333,-396,82,8154,-13,21,26,9822,-2,-3,5168,3,172,-22,4879,0,-1,0,0,-1,400,56.0,5248.0,81.61,81.17,-1,
 413343,-446,38,8174,-15,15,24,9821,4,2,5176,2,171,-21,4879,0,-1,0,0,-1,400,56.0,5264.0,81.61,81.17,-1,
 413353,-422,68,8172,-20,13,24,9821,-7,-2,5160,3,175,-11,4878,0,-1,0,0,-1,400,56.0,5281.0,81.61,81.17,-1,
 413373,-440,56,8158,-18,13,26,9821,-1,0,5160,1,174,-29,4878,0,-1,0,0,-1,400,56.0,5297.0,81.61,81.17,-1,
 413393,-418,54,8178,-17,12,26,9821,-7,-3,5176,3,176,-19,4878,0,-1,0,0,-1,400,56.0,5315.0,81.61,81.17,-1,
 413403,-418,56,8168,-16,14,29,9819,-10,3,5168,1,174,-9,4878,0,-1,0,0,-1,400,56.0,5347.0,81.61,81.17,-1,
 413413,-416,38,8162,-11,14,27,9821,-2,0,5168,3,171,14,4879,0,-1,0,0,-1,400,56.0,5380.0,81.61,81.17,-1,
 413433,-418,56,8150,-18,17,27,9821,-3,5,5168,0,178,2,4878,0,-1,0,0,-1,400,56.0,5398.0,81.61,81.06,-1,
 413493,-384,70,8154,-19,15,26,9821,3,3,5176,0,171,-20,4878,0,-1,0,0,-1,400,56.0,5414.0,81.61,81.17,-1,
 413513,-400,58,8172,-12,14,25,9822,4,-1,5168,1,185,4,4878,0,-1,0,0,-1,400,56.0,5430.0,81.61,81.17,-1,
 413533,-396,72,8168,-16,19,27,9822,0,0,5176,5,178,-7,4878,0,-1,0,0,-1,400,56.0,5447.0,81.61,81.17,-1,
 413543,-420,82,8168,-14,14,23,9821,-5,-5,5168,2,170,-59,4878,0,-1,0,0,-1,400,56.0,5463.0,81.61,81.17,-1,
 413553,-430,46,8174,-13,12,27,9821,1,1,5168,1,170,-66,4878,0,-1,0,0,-1,400,56.0,5481.0,81.61,81.17,-1,
 413583,-452,56,8160,-20,19,27,9821,2,6,5168,-2,176,1,4879,0,-1,0,0,-1,400,56.0,5513.0,81.73,81.17,-1,
 413603,-410,56,8172,-18,15,29,9822,3,0,5168,4,173,-24,4879,0,-1,0,0,-1,400,56.0,5530.0,81.73,81.28,-1,
 413613,-392,18,8170,-24,18,29,9821,-1,4,5176,3,173,-16,4878,0,-1,0,0,-1,400,56.0,5546.0,81.73,81.28,-1,
